Neighborhood,Lat,Long
AEROPORTO,-21.5312369,-42.1948014
ANDORINHAS,-22.5470341,-43.045271
ANTÔNIO HONÓRIO,-20.262694,-40.2981413
ARIOVALDO FAVALESSA,-20.3142531,-40.3564749
BARRO VERMELHO,-22.8427072,-43.0742699
BELA VISTA,-22.6020747,-43.4505459
BENTO FERREIRA,-21.9322545,-42.6137473
BOA VISTA,-22.314288,-42.2829248
BONFIM,-22.4600199,-43.0994546
CARATOÍRA,-20.3154701,-40.3534172
CENTRO,-22.9043934,-43.1830653
COMDUSA,-20.2866831,-40.3344263
CONQUISTA,-22.9096334,-43.9563674
CONSOLAÇÃO,-22.9196976,-43.5492704
CRUZAMENTO,-22.4587809,-43.466940641533334
DA PENHA,-22.8435065,-43.3100585
DE LOURDES,-16.3728032,-46.9034559
DO CABRAL,-23.58016035,-46.6582084704094
DO MOSCOSO,-20.3156022,-40.3431492
DO QUADRO,-20.3168686,-40.3498434
ENSEADA DO SUÁ,-20.3133066,-40.2922293
ESTRELINHA,-22.6270222,-43.2029937
FONTE GRANDE,-22.7370092,-43.7293289
FORTE SÃO JOÃO,-20.3181834,-40.3245604
FRADINHOS,-20.3071309,-40.3269799
GOIABEIRAS,-22.8909203,-42.3508921
GRANDE VITÓRIA,-22.8886042,-43.61553984919773
GURIGICA,-20.3059436,-40.3056724
HORTO,-21.7632974,-41.2996878
ILHA DAS CAIEIRAS,-20.2780131,-40.3355152
ILHA DE SANTA MARIA,-20.3144503,-40.3180567
ILHA DO BOI,-22.776839199999998,-41.87736305485389
ILHA DO FRADE,-23.0731349,-43.57364231057635
ILHA DO PRÍNCIPE,-20.3227554,-40.350573
ILHAS OCEÂNICAS DE TRINDADE,-22.9110137,-43.2093727
INHANGUETÁ,-20.2983262,-40.3484165
ITARARÉ,-22.861622750000002,-43.27043523168142
JABOUR,-22.8807636,-43.4931972
JARDIM CAMBURI,-20.2599804,-40.267894
JARDIM DA PENHA,-20.2843019,-40.2945253
JESUS DE NAZARETH,-20.3174441,-40.3023787
JOANA D´ARC,-20.2842568,-40.31718
JUCUTUQUARA,-20.3088457,-40.3193283
MARIA ORTIZ,-20.2579835,-40.2979268
MARUÍPE,-20.2963157,-40.3198376
MATA DA PRAIA,-20.2760095,-40.2939889
MONTE BELO,-22.9007537,-43.2359105
MORADA DE CAMBURI,-20.2712388,-40.2966929
MÁRIO CYPRESTE,-20.3178139,-40.3579442
NAZARETH,-22.6653593,-43.6506069
NOVA PALESTINA,-22.9406769,-43.65911415798173
PARQUE INDUSTRIAL,-21.7270726,-41.3606752923649
PARQUE MOSCOSO,-20.3199474,-40.3427114
PIEDADE,-22.8926665,-43.3110001
PONTAL DE CAMBURI,-20.2893289,-40.2967992
PRAIA DO CANTO,-22.9251554,-43.11988879610415
PRAIA DO SUÁ,-20.3131036,-40.2994874
REDENÇÃO,-22.9814309,-43.3267198
REPÚBLICA,-22.9259147,-43.1762241
RESISTÊNCIA,-22.7421819,-43.4731559
ROMÃO,-22.3493598,-42.2292751
SANTA CECÍLIA,-22.8722706,-43.5581572
SANTA CLARA,-22.5705719,-44.1727737
SANTA HELENA,-22.6178162,-43.2845816
SANTA LUÍZA,-29.3215001,-51.39356933553352
SANTA LÚCIA,-22.6268528,-43.2118074
SANTA MARTHA,-20.288527,-40.309795
SANTA TEREZA,-22.9319478,-43.1969954
SANTO ANDRÉ,-22.2373982,-42.516176960272134
SANTO ANTÔNIO,-22.6455136,-43.5663124
SANTOS DUMONT,-22.8048641,-43.426629
SANTOS REIS,-23.0029421,-43.345847
SEGURANÇA DO LAR,-20.2631167,-40.2963604
SOLON BORGES,-20.2614253,-40.294912
SÃO BENEDITO,-22.9388513,-43.6862111
SÃO CRISTÓVÃO,-22.899318,-43.2219346
SÃO JOSÉ,-21.7318163,-41.3289071
SÃO PEDRO,-22.5733836,-44.1769442
TABUAZEIRO,-20.2944536,-40.3229385
UNIVERSITÁRIO,-22.90039005,-43.5786673368683
VILA RUBIM,-20.3194406,-40.3469311
